projectId,isOn,trustProductName,proectIssueCode,trustCompanyName,trustCompanyShortName,trustTremType,trustPropertyApplicationDesc,trustPropertyManagementDesc,issueCodeDate,publicityTime,registrationTime
3147,1,中铁信托·智恒1702期集合资金信托计划,ZXD43Z201709010029600,中铁信托有限责任公司,中铁信托,24,金融业,其他债权资产,2017-09-27,2017-11-07,2017-10-27
3145,1,中铁信托·智恒1701期集合资金信托计划,ZXD43Z201709010029584,中铁信托有限责任公司,中铁信托,24,金融业,其他债权资产,2017-09-27,2017-11-07,2017-10-27
1971,1,全球慧赢二十一号集合资金信托计划第442期信托单位,ZXD31P201709010017897,平安信托有限责任公司,平安信托,4,金融业,其他债权资产,2017-09-19,2017-11-07,2017-10-30
1758,1,交银国信·集通49号集合资金信托计划,ZXD34J201709110015784,交银国际信托有限公司,交银信托,12,房地产业,信托贷款,2017-09-18,2017-11-07,2017-10-17
1698,1,中航信托·天信【2017】40号集合资金信托计划,ZXD37Z201709010015199,中航信托股份有限公司,中航信托,12,金融业,资产收益权（不附回购）,2017-09-18,2017-11-07,2017-10-26
3076,1,爱建-恒诚丰赢2号财产权信托,ZXD34S201709111028898,上海爱建信托有限责任公司,爱建信托,109.8,金融业,资产收益权（不附回购）,2017-09-26,2017-10-25,2017-10-18
2926,1,华润信托·信安2017年第一期财产权信托,ZXD38H201709111027409,华润深国投信托有限公司,华润信托,141,金融业,资产收益权（不附回购）,2017-09-26,2017-10-25,2017-10-20
2633,1,长安宁—新光圆成股权收益权买入返售集合资金信托计划,ZXD31C201709110024479,长安国际信托股份有限公司,长安信托,24,制造业,特定资产及其收（受）益权附回购,2017-09-22,2017-10-25,2017-10-20
2250,1,中国民生信托-至信400号民赢11号证券投资集合资金信托计划,ZXD35Z201709010020662,中国民生信托有限公司,民生信托,12,金融业,股票投资,2017-09-21,2017-10-25,2017-10-17
1432,1,浙金·汇业101号海伦堡集团集合资金信托计划,ZXD31Z201709010012566,浙商金汇信托股份有限公司,浙金信托,12,房地产业,信托贷款,2017-09-15,2017-10-25,2017-09-29
1342,1,国民信托古建1号集合资金信托计划,ZXD34G201709010011664,国民信托有限公司,国民信托,36,建筑业,信托贷款,2017-09-14,2017-10-25,2017-10-20
953,1,交银国信·集通70号集合资金信托计划,ZXD34J20170901000781X,交银国际信托有限公司,交银信托,60,电力、热力、燃气及水生产和供应业,信托贷款,2017-09-12,2017-10-25,2017-10-18
918,1,万向信托-睿盈安锦1号集合资金信托计划,ZXD31W201709110007467,万向信托有限公司,万向信托,12,房地产业,长期股权投资,2017-09-12,2017-10-25,2017-10-18
883,1,长安宁-鼎盛消贷三期信贷资产收益权转让集合资金信托计划,ZXD31C201709110007125,长安国际信托股份有限公司,长安信托,60,金融业,资产收益权（不附回购）,2017-09-11,2017-10-25,2017-10-17
753,1,源盛恒瑞17号集合资金信托计划,ZXD32Y201709010005827,云南国际信托有限公司,云南信托,12,金融业,股票投资,2017-09-11,2017-10-25,2017-10-18
3557,1,中铁信托·智达1701期集合资金信托计划,ZXD43Z20170901003366X,中铁信托有限责任公司,中铁信托,24,金融业,其他债权资产,2017-09-29,2017-11-06,2017-10-26
2999,1,国元·安睿·产业基金（瓯海棚改一期）集合信托计划,ZXD31A201709110028124,安徽国元信托有限责任公司,国元信托,120,水利、环境和公共设施管理业,长期股权投资,2017-09-26,2017-11-06,2017-10-31
2762,1,西藏信托·蓉升1号集合资金信托,ZXD32X201709110025762,西藏信托有限公司,西藏信托,5.3,金融业,资产收益权（不附回购）,2017-09-25,2017-11-06,2017-10-25
2607,1,光大信托·东祥2号集合资金信托计划,ZXD31G201709010024211,光大兴陇信托有限责任公司,光大信托,12,金融业,股票投资,2017-09-22,2017-11-06,2017-10-27
2125,1,中铁信托·智辉1702期集合资金信托计划,ZXD43Z201709010019421,中铁信托有限责任公司,中铁信托,24,金融业,其他债权资产,2017-09-20,2017-11-06,2017-10-27
2123,1,中铁信托·智达1702期集合资金信托计划,ZXD43Z201709010019403,中铁信托有限责任公司,中铁信托,24,金融业,其他债权资产,2017-09-20,2017-11-06,2017-10-27
1639,1,光大·智汇9号集合资金信托计划,ZXD31G201709110014618,光大兴陇信托有限责任公司,光大信托,12,租赁和商务服务业,特定资产及其收（受）益权附回购,2017-09-15,2017-11-06,2017-10-26
1560,1,长安信托——股东增持30号集合资金信托计划,ZXD31C201709110013830,长安国际信托股份有限公司,长安信托,24,金融业,股票投资,2017-09-15,2017-11-06,2017-10-27
1558,1,长安信托——股东增持23号集合资金信托计划,ZXD31C201709110013812,长安国际信托股份有限公司,长安信托,24,金融业,股票投资,2017-09-15,2017-11-06,2017-10-27
1128,1,国民信托阳光稳健10号证券投资集合资金信托计划,ZXD34G20170901000955X,国民信托有限公司,国民信托,12,"金融业,其他",股票投资,2017-09-13,2017-11-06,2017-10-27
